"Currency","Mean","Buy","Sell"
"US DOLLAR","157.3912","157.0000","157.7824"
"SW KRONER","15.3662","15.3263","15.4060"
"STG POUND","198.9459","198.4182","199.4735"
"SINGAPORE DOLLAR","118.4774","118.1606","118.7941"
"SAUDI RIYAL","41.9676","41.8622","42.0731"
"SA RAND","8.3812","8.3591","8.4033"
"S FRANC","184.4285","183.9269","184.9301"
"NOR KRONER","15.1787","15.1387","15.2186"
"KES / USHS","24.2234","24.1155","24.3312"
"KES / TSHS","15.9922","15.9207","16.0637"
"KES / RWF","8.0026","7.9237","8.0814"
"KES / BIF","18.1018","17.9531","18.2504"
"JPY (100)","110.1215","109.8363","110.4068"
"IND RUPEE","1.8893","1.8844","1.8942"
"HONGKONG DOLLAR","20.1574","20.1073","20.2075"
"EURO","172.2168","171.7535","172.6800"
"DAN KRONER","23.0471","22.9882","23.1061"
"CHINESE YUAN","22.0166","21.9605","22.0727"
"CAN $","117.8343","117.5238","118.1448"
"AUSTRALIAN $","105.8299","105.5511","106.1086"
"AE DIRHAM","42.8538","42.7409","42.9667"
