Date,Currency,Mean,Buy,Sell
04/01/2010,US DOLLAR,75.8406,75.7378,75.9433
04/01/2010,STG POUND,122.143,121.96,122.326
04/01/2010,EURO,108.498,108.341,108.656
04/01/2010,SA RAND,10.1636,10.1402,10.187
04/01/2010,KES/USHS,25.0791,24.9792,25.179
04/01/2010,KES/TSHS,17.6621,17.6052,17.719
04/01/2010,AE DIRHAM,20.6482,20.6005,20.6958
04/01/2010,CAN $,72.5007,72.3828,72.6186
04/01/2010,S FRANC,73.2479,73.1232,73.3727
04/01/2010,JPY(100),81.7256,81.5941,81.8571
04/01/2010,SW KRONER,10.6046,10.5887,10.6205
04/01/2010,NOR KRONER,13.1114,13.093,13.1298
04/01/2010,DAN KRONER,14.5794,14.5588,14.6
04/01/2010,IND RUPEE,1.6298,1.6276,1.6321
04/01/2010,HONGKONG $,9.7762,9.7627,9.7897
04/01/2010,SINGAPORE $,54.0792,53.9789,54.1795
04/01/2010,SAUDI RIYAL,20.2201,20.1914,20.2489
04/01/2010,CHINESE YUAN,11.1092,11.094,11.1245
04/01/2010,AUSTRALIAN $,68.12,68.0201,68.2199
05/01/2010,US DOLLAR,75.5903,75.4889,75.6917
05/01/2010,STG POUND,121.851,121.677,122.025
05/01/2010,EURO,109.205,109.046,109.364
05/01/2010,SA RAND,10.3508,10.3121,10.3895
05/01/2010,KES/USHS,25.3209,25.2207,25.421
05/01/2010,KES/TSHS,17.7008,17.6373,17.7642
05/01/2010,AE DIRHAM,20.5797,20.5507,20.6087
05/01/2010,CAN $,72.8277,72.7049,72.9504
05/01/2010,S FRANC,73.5024,73.3804,73.6244
05/01/2010,JPY(100),82.2724,82.1344,82.4104
05/01/2010,SW KRONER,10.7363,10.7167,10.756
05/01/2010,NOR KRONER,13.2674,13.2479,13.2869
05/01/2010,DAN KRONER,14.6745,14.6515,14.6974
05/01/2010,IND RUPEE,1.635,1.6325,1.6374
05/01/2010,HONGKONG $,9.7453,9.732,9.7586
05/01/2010,SINGAPORE $,54.21,54.11,54.3099
05/01/2010,SAUDI RIYAL,20.1563,20.1288,20.1839
