"Date","Currency","EXCHANGE RATE"
"22/08/2024","US DOLLAR","129.0800"
"22/08/2024","STG POUND","168.8947"
"22/08/2024","EURO","143.8338"
"22/08/2024","SA RAND","7.2134"
"22/08/2024","KES / USHS","28.8038"
"22/08/2024","KES / TSHS","20.9560"
"22/08/2024","KES / RWF","10.2560"
"22/08/2024","KES / BIF","22.3772"
"22/08/2024","AE DIRHAM","35.1448"
"22/08/2024","CAN $","94.9921"
"22/08/2024","S FRANC","151.6180"
"22/08/2024","JPY (100)","88.9195"
"22/08/2024","SW KRONER","12.6520"
"22/08/2024","NOR KRONER","12.2676"
"22/08/2024","DAN KRONER","19.2729"
"22/08/2024","IND RUPEE","1.5377"
"22/08/2024","HONGKONG DOLLAR","16.5607"
"22/08/2024","SINGAPORE DOLLAR","98.7983"
"22/08/2024","SAUDI RIYAL","34.4012"
"22/08/2024","CHINESE YUAN","18.0983"
"22/08/2024","AUSTRALIAN $","86.9418"
"21/08/2024","US DOLLAR","128.9765"
"21/08/2024","STG POUND","168.0241"
"21/08/2024","EURO","143.4154"
"21/08/2024","SA RAND","7.2463"
"21/08/2024","KES / USHS","28.8657"
"21/08/2024","KES / TSHS","21.0116"
"21/08/2024","KES / RWF","10.2561"
"21/08/2024","KES / BIF","22.3800"
"21/08/2024","AE DIRHAM","35.1152"
"21/08/2024","CAN $","94.7451"
"21/08/2024","S FRANC","150.9998"
"21/08/2024","JPY (100)","88.5250"
"21/08/2024","SW KRONER","12.6389"
"21/08/2024","NOR KRONER","12.2875"
"21/08/2024","DAN KRONER","19.2192"
"21/08/2024","IND RUPEE","1.5377"
"21/08/2024","HONGKONG DOLLAR","16.5546"
"21/08/2024","SINGAPORE DOLLAR","98.7191"
"21/08/2024","SAUDI RIYAL","34.3736"
"21/08/2024","CHINESE YUAN","18.0836"
"21/08/2024","AUSTRALIAN $","87.0333"
"20/08/2024","US DOLLAR","129.0916"
"20/08/2024","STG POUND","167.5480"
"20/08/2024","EURO","142.9754"
"20/08/2024","SA RAND","7.2768"
"20/08/2024","KES / USHS","28.8400"
"20/08/2024","KES / TSHS","20.9928"
"20/08/2024","KES / RWF","10.2397"
"20/08/2024","KES / BIF","22.3446"
"20/08/2024","AE DIRHAM","35.1466"
"20/08/2024","CAN $","94.6732"
"20/08/2024","S FRANC","149.6801"
"20/08/2024","JPY (100)","87.6862"
"20/08/2024","SW KRONER","12.5140"
"20/08/2024","NOR KRONER","12.2188"
"20/08/2024","DAN KRONER","19.1603"
"20/08/2024","IND RUPEE","1.5400"
"20/08/2024","HONGKONG DOLLAR","16.5699"
"20/08/2024","SINGAPORE DOLLAR","98.5658"
"20/08/2024","SAUDI RIYAL","34.4033"
"20/08/2024","CHINESE YUAN","18.0617"
"20/08/2024","AUSTRALIAN $","86.7173"
"19/08/2024","US DOLLAR","129.0649"
"19/08/2024","STG POUND","167.1971"
"19/08/2024","EURO","142.5070"
"19/08/2024","SA RAND","7.2406"
"19/08/2024","KES / USHS","28.8421"
"19/08/2024","KES / TSHS","21.0049"
"19/08/2024","KES / RWF","10.3204"
"19/08/2024","KES / BIF","22.3105"
"19/08/2024","AE DIRHAM","35.1393"
"19/08/2024","CAN $","94.4320"
"19/08/2024","S FRANC","149.5105"
"19/08/2024","JPY (100)","88.4461"
"19/08/2024","SW KRONER","12.3794"
"19/08/2024","NOR KRONER","12.0969"
"19/08/2024","DAN KRONER","19.0999"
"19/08/2024","IND RUPEE","1.5382"
"19/08/2024","HONGKONG DOLLAR","16.5666"
"19/08/2024","SINGAPORE DOLLAR","98.4740"
"19/08/2024","SAUDI RIYAL","34.3939"
"19/08/2024","CHINESE YUAN","18.0710"
"19/08/2024","AUSTRALIAN $","86.2347"
"16/08/2024","US DOLLAR","129.1443"
"16/08/2024","STG POUND","166.3185"
"16/08/2024","EURO","141.8521"
"16/08/2024","SA RAND","7.1824"
"16/08/2024","KES / USHS","28.8321"
"16/08/2024","KES / TSHS","20.9920"
"16/08/2024","KES / RWF","10.2217"
"16/08/2024","KES / BIF","22.3355"
"16/08/2024","AE DIRHAM","35.1609"
"16/08/2024","CAN $","94.1045"
"16/08/2024","S FRANC","148.2117"
"16/08/2024","JPY (100)","86.6886"
"16/08/2024","SW KRONER","12.2755"
"16/08/2024","NOR KRONER","12.0355"
"16/08/2024","DAN KRONER","19.0117"
"16/08/2024","IND RUPEE","1.5383"
"16/08/2024","HONGKONG DOLLAR","16.5683"
"16/08/2024","SINGAPORE DOLLAR","97.8218"
"16/08/2024","SAUDI RIYAL","34.4146"
"16/08/2024","CHINESE YUAN","18.0060"
"16/08/2024","AUSTRALIAN $","85.6550"
"15/08/2024","US DOLLAR","129.2033"
"15/08/2024","STG POUND","165.9293"
"15/08/2024","EURO","142.2722"
"15/08/2024","SA RAND","7.1547"
"15/08/2024","KES / USHS","28.8344"
"15/08/2024","KES / TSHS","20.8973"
"15/08/2024","KES / RWF","10.2171"
"15/08/2024","KES / BIF","22.3175"
"15/08/2024","AE DIRHAM","35.1770"
"15/08/2024","CAN $","94.2230"
"15/08/2024","S FRANC","149.2903"
"15/08/2024","JPY (100)","87.8187"
"15/08/2024","SW KRONER","12.3506"
"15/08/2024","NOR KRONER","12.0635"
"15/08/2024","DAN KRONER","19.0679"
"15/08/2024","IND RUPEE","1.5387"
"15/08/2024","HONGKONG DOLLAR","16.5831"
"15/08/2024","SINGAPORE DOLLAR","98.0819"
"15/08/2024","SAUDI RIYAL","34.4258"
"15/08/2024","CHINESE YUAN","18.0574"
"15/08/2024","AUSTRALIAN $","85.5390"
"14/08/2024","US DOLLAR","129.0600"
"14/08/2024","STG POUND","165.7711"
"14/08/2024","EURO","141.5982"
"14/08/2024","SA RAND","7.1156"
"14/08/2024","KES / USHS","28.8664"
"14/08/2024","KES / TSHS","20.9980"
"14/08/2024","KES / RWF","10.2218"
"14/08/2024","KES / BIF","22.3423"
"14/08/2024","AE DIRHAM","35.1375"
"14/08/2024","CAN $","94.0636"
"14/08/2024","S FRANC","149.2282"
"14/08/2024","JPY (100)","87.9425"
"14/08/2024","SW KRONER","12.3088"
"14/08/2024","NOR KRONER","12.0066"
"14/08/2024","DAN KRONER","18.9748"
"14/08/2024","IND RUPEE","1.5379"
"14/08/2024","HONGKONG DOLLAR","16.5688"
"14/08/2024","SINGAPORE DOLLAR","97.8431"
"14/08/2024","SAUDI RIYAL","34.3766"
"14/08/2024","CHINESE YUAN","18.0331"
"14/08/2024","AUSTRALIAN $","85.4893"
"13/08/2024","US DOLLAR","129.3451"
"13/08/2024","STG POUND","165.3095"
"13/08/2024","EURO","141.5035"
"13/08/2024","SA RAND","7.0920"
"13/08/2024","KES / USHS","28.8376"
"13/08/2024","KES / TSHS","20.9517"
"13/08/2024","KES / RWF","10.1917"
"13/08/2024","KES / BIF","22.2871"
"13/08/2024","AE DIRHAM","35.2151"
